Date,Close,MoM_Change_%
2020-11-01,30.66,
2020-12-01,74.87,144.19
2021-01-01,90.35,20.68
2021-02-01,295.66,227.24
2021-03-01,385.42,30.36
2021-04-01,377.61,-2.03
2021-05-01,503.87,33.44
2021-06-01,372.87,-26.00
2021-07-01,231.63,-37.88
2021-08-01,317.50,37.07
2021-09-01,413.90,30.36
2021-10-01,302.51,-26.91
2021-11-01,324.04,7.12
2021-12-01,251.03,-22.53
2022-01-01,265.50,5.76
2022-02-01,163.97,-38.24
2022-03-01,143.45,-12.51
2022-04-01,245.43,71.09
2022-05-01,146.56,-40.28
2022-06-01,106.55,-27.30
2022-07-01,56.15,-47.30
2022-08-01,96.90,72.57
2022-09-01,86.41,-10.83
2022-10-01,74.51,-13.77
2022-11-01,84.34,13.19
2022-12-01,63.58,-24.61
2023-01-01,52.05,-18.13
2023-02-01,88.27,69.59
2023-03-01,82.83,-6.16
2023-04-01,73.94,-10.73
2023-05-01,68.92,-6.79
2023-06-01,62.71,-9.01
2023-07-01,68.14,8.66
2023-08-01,65.46,-3.93
2023-09-01,54.53,-16.70
2023-10-01,72.13,32.28
2023-11-01,88.98,23.36
2023-12-01,100.21,12.62
2024-01-01,116.05,15.81
2024-02-01,83.82,-27.77
2024-03-01,110.53,31.87
2024-04-01,129.19,16.88
2024-05-01,83.75,-35.17
2024-06-01,104.03,24.21
2024-07-01,98.27,-5.54
2024-08-01,116.72,18.77
2024-09-01,120.69,3.40
2024-10-01,145.07,20.20
2024-11-01,141.46,-2.49
2024-12-01,208.94,47.70
2025-01-01,319.35,52.84
2025-02-01,297.16,-6.95
2025-02-25,208.90,-29.70
