Date,Close,MoM_Change_%
2020-02-01,0.06,
2020-03-01,0.05,-16.67
2020-04-01,0.03,-40.00
2020-05-01,0.05,66.67
2020-06-01,0.08,60.00
2020-07-01,0.10,25.00
2020-08-01,0.14,40.00
2020-09-01,0.13,-7.14
2020-10-01,0.10,-23.08
2020-11-01,0.10,0.00
2020-12-01,0.16,60.00
2021-01-01,0.18,12.50
2021-02-01,0.40,122.22
2021-03-01,1.29,222.50
2021-04-01,1.19,-7.75
2021-05-01,1.35,13.45
2021-06-01,1.73,28.15
2021-07-01,1.34,-22.54
2021-08-01,1.32,-1.49
2021-09-01,2.87,117.42
2021-10-01,2.26,-21.25
2021-11-01,1.95,-13.72
2021-12-01,1.55,-20.51
2022-01-01,1.38,-10.97
2022-02-01,1.09,-21.01
2022-03-01,0.96,-11.93
2022-04-01,1.17,21.87
2022-05-01,0.79,-32.48
2022-06-01,0.55,-30.38
2022-07-01,0.45,-18.18
2022-08-01,0.51,13.33
2022-09-01,0.46,-9.80
2022-10-01,0.43,-6.52
2022-11-01,0.40,-6.98
2022-12-01,0.31,-22.50
2023-01-01,0.25,-19.35
2023-02-01,0.40,60.00
2023-03-01,0.36,-10.00
2023-04-01,0.39,8.33
2023-05-01,0.39,0.00
2023-06-01,0.36,-7.69
2023-07-01,0.29,-19.44
2023-08-01,0.31,6.90
2023-09-01,0.26,-16.13
2023-10-01,0.27,3.85
2023-11-01,0.31,14.81
2023-12-01,0.38,22.58
2024-01-01,0.62,63.16
2024-02-01,0.51,-17.74
2024-03-01,0.72,41.18
2024-04-01,0.62,-13.89
2024-05-01,0.45,-27.42
2024-06-01,0.45,0.00
2024-07-01,0.40,-11.11
2024-08-01,0.39,-2.50
2024-09-01,0.33,-15.38
2024-10-01,0.35,6.06
2024-11-01,0.36,2.86
2024-12-01,1.16,222.22
2025-01-01,0.92,-20.69
2025-02-01,0.90,-2.17
2025-02-25,0.69,-23.33
