Date,Close,MoM_Change_%
2020-01-31,381.01,
2020-02-29,313.30,-17.77
2020-03-31,224.02,-28.50
2020-04-30,257.23,14.82
2020-05-31,255.35,-0.73
2020-06-30,223.69,-12.40
2020-07-31,318.00,42.16
2020-08-31,292.72,-7.95
2020-09-30,227.42,-22.31
2020-10-31,267.56,17.65
2020-11-30,288.14,7.69
2020-12-31,341.99,18.69
2021-01-31,414.02,21.06
2021-02-28,500.95,21.00
2021-03-31,561.66,12.12
2021-04-30,1005.08,78.95
2021-05-31,691.40,-31.21
2021-06-30,498.19,-27.94
2021-07-31,527.84,5.95
2021-08-31,656.82,24.44
2021-09-30,543.30,-17.28
2021-10-31,587.67,8.17
2021-11-30,571.06,-2.83
2021-12-31,444.46,-22.17
2022-01-31,288.15,-35.17
2022-02-28,328.23,13.91
2022-03-31,376.89,14.82
2022-04-30,284.41,-24.54
2022-05-31,186.33,-34.49
2022-06-30,101.42,-45.57
2022-07-31,138.21,36.27
2022-08-31,116.71,-15.56
2022-09-30,117.18,0.40
2022-10-31,115.01,-1.85
2022-11-30,110.31,-4.09
2022-12-31,96.96,-12.10
2023-01-31,136.29,40.56
2023-02-28,134.24,-1.50
2023-03-31,125.57,-6.46
2023-04-30,116.98,-6.84
2023-05-31,113.37,-3.09
2023-06-30,290.78,156.49
2023-07-31,244.77,-15.82
2023-08-31,199.63,-18.44
2023-09-30,242.19,21.32
2023-10-31,245.07,1.19
2023-11-30,225.22,-8.10
2023-12-31,266.62,18.38
2024-01-31,236.62,-11.25
2024-02-29,316.13,33.60
2024-03-31,649.06,105.31
2024-04-30,424.04,-34.67
2024-05-31,463.07,9.20
2024-06-30,384.20,-17.03
2024-07-31,413.15,7.54
2024-08-31,312.75,-24.30
2024-09-30,318.29,1.77
2024-10-31,349.60,9.84
2024-11-30,532.63,52.35
2024-12-31,449.36,-15.63
2025-01-31,424.24,-5.59
2025-02-25,291.26,-31.35
