Date,Price,MoM_%_Chg
2021-01-31,44.28,
2021-02-28,209.57,373.28
2021-03-31,302.06,44.13
2021-04-30,624.08,106.61
2021-05-31,354.33,-43.22
2021-06-30,303.30,-14.40
2021-07-31,333.55,9.97
2021-08-31,464.42,39.24
2021-09-30,387.06,-16.66
2021-10-31,524.36,35.47
2021-11-30,622.67,18.75
2021-12-31,511.71,-17.82
2022-01-31,375.28,-26.66
2022-02-28,395.61,5.42
2022-03-31,428.92,8.42
2022-04-30,377.77,-11.93
2022-05-31,320.49,-15.16
2022-06-30,219.30,-31.57
2022-07-31,283.58,29.31
2022-08-31,279.24,-1.53
2022-09-30,284.19,1.77
2022-10-31,326.36,14.84
2022-11-30,300.79,-7.83
2022-12-31,246.35,-18.10
2023-01-31,312.36,26.80
2023-02-28,301.47,-3.49
2023-03-31,317.04,5.16
2023-04-30,337.65,6.50
2023-05-31,306.87,-9.12
2023-06-30,240.37,-21.67
2023-07-31,241.12,0.31
2023-08-31,216.60,-10.17
2023-09-30,214.82,-0.82
2023-10-31,226.44,5.41
2023-11-30,227.68,0.55
2023-12-31,312.44,37.23
2024-01-31,300.35,-3.87
2024-02-29,399.78,33.10
2024-03-31,606.91,51.81
2024-04-30,578.49,-4.68
2024-05-31,593.52,2.60
2024-06-30,581.77,-1.98
2024-07-31,576.37,-0.93
2024-08-31,532.90,-7.54
2024-09-30,567.26,6.45
2024-10-31,576.03,1.55
2024-11-30,654.33,13.59
2024-12-31,700.99,7.13
2025-01-31,677.38,-3.37
