Date,Close,MoM_Change_%
2020-01-31,9392.88,
2020-02-29,8562.45,-8.84
2020-03-31,6606.78,-22.84
2020-04-30,8864.77,34.18
2020-05-31,10167.27,14.69
2020-06-30,9228.33,-9.23
2020-07-31,11759.59,27.43
2020-08-31,11970.48,1.79
2020-09-30,10619.45,-11.29
2020-10-31,13737.11,29.36
2020-11-30,18803.00,36.88
2020-12-31,29374.15,56.22
2021-01-31,33537.18,14.17
2021-02-28,49631.24,47.99
2021-03-31,59095.81,19.07
2021-04-30,57828.05,-2.15
2021-05-31,36684.93,-36.56
2021-06-30,33572.12,-8.49
2021-07-31,39974.89,19.07
2021-08-31,48847.03,22.19
2021-09-30,48116.94,-1.49
2021-10-31,61004.41,26.78
2021-11-30,57229.83,-6.19
2021-12-31,47686.81,-16.67
2022-01-31,38743.27,-18.75
2022-02-28,44354.64,14.48
2022-03-31,46281.64,4.34
2022-04-30,38469.09,-16.88
2022-05-31,29799.08,-22.54
2022-06-30,19269.37,-35.34
2022-07-31,23314.20,20.99
2022-08-31,20127.14,-13.67
2022-09-30,19312.10,-4.05
2022-10-31,20485.27,6.07
2022-11-30,16967.13,-17.17
2022-12-31,16625.08,-2.02
2023-01-31,23723.77,42.70
2023-02-28,23646.55,-0.33
2023-03-31,28411.04,20.15
2023-04-30,28091.57,-1.12
2023-05-31,26819.97,-4.53
2023-06-30,30590.08,14.06
2023-07-31,29675.73,-2.99
2023-08-31,25800.72,-13.06
2023-09-30,27983.75,8.46
2023-10-31,35437.25,26.64
2023-11-30,38688.75,9.18
2023-12-31,44167.33,14.16
2024-01-31,43075.77,-2.47
2024-02-29,62440.63,44.96
2024-03-31,69702.15,11.63
2024-04-30,58254.01,-16.42
2024-05-31,67706.94,16.23
2024-06-30,62851.98,-7.17
2024-07-31,65357.50,3.99
2024-08-31,57325.49,-12.29
2024-09-30,60837.01,6.13
2024-10-31,69482.47,14.21
2024-11-30,97279.79,40.01
2024-12-31,94419.76,-2.94
2025-01-31,102405.02,8.46
2025-02-25,91996.42,-10.16
