Date,Close,MoM_Change_%
2020-02-01,0.00,
2020-03-01,0.00,
2020-04-01,0.00,
2020-05-01,0.00,
2020-06-01,0.00,
2020-07-01,0.00,
2020-08-01,0.00,
2020-09-01,0.00,
2020-10-01,0.00,
2020-11-01,0.00,
2020-12-01,0.00,
2021-01-01,0.01,
2021-02-01,0.03,200.00
2021-03-01,0.05,66.67
2021-04-01,0.06,20.00
2021-05-01,0.39,550.00
2021-06-01,0.37,-5.13
2021-07-01,0.24,-35.14
2021-08-01,0.20,-16.67
2021-09-01,0.29,45.00
2021-10-01,0.22,-24.14
2021-11-01,0.27,22.73
2021-12-01,0.21,-22.22
2022-01-01,0.17,-19.05
2022-02-01,0.14,-17.65
2022-03-01,0.13,-7.14
2022-04-01,0.14,7.69
2022-05-01,0.13,-7.14
2022-06-01,0.08,-38.46
2022-07-01,0.07,-12.50
2022-08-01,0.07,0.00
2022-09-01,0.06,-14.29
2022-10-01,0.06,0.00
2022-11-01,0.14,133.33
2022-12-01,0.10,-28.57
2023-01-01,0.07,-30.00
2023-02-01,0.09,28.57
2023-03-01,0.08,-11.11
2023-04-01,0.08,0.00
2023-05-01,0.08,0.00
2023-06-01,0.07,-12.50
2023-07-01,0.07,0.00
2023-08-01,0.08,14.29
2023-09-01,0.06,-25.00
2023-10-01,0.06,0.00
2023-11-01,0.07,16.67
2023-12-01,0.08,14.29
2024-01-01,0.09,12.50
2024-02-01,0.08,-11.11
2024-03-01,0.14,75.00
2024-04-01,0.21,50.00
2024-05-01,0.13,-38.10
2024-06-01,0.16,23.08
2024-07-01,0.12,-25.00
2024-08-01,0.12,0.00
2024-09-01,0.10,-16.67
2024-10-01,0.11,10.00
2024-11-01,0.16,45.45
2024-12-01,0.44,175.00
2025-01-01,0.32,-27.27
2025-02-01,0.31,-3.13
2025-02-25,0.21,-32.26
