Date,Price,MoM_%_Chg
2021-01-31,0.04,
2021-02-28,0.05,25.00
2021-03-31,0.05,0.00
2021-04-30,0.34,580.00
2021-05-31,0.33,-2.94
2021-06-30,0.25,-24.24
2021-07-31,0.21,-16.00
2021-08-31,0.28,33.33
2021-09-30,0.20,-28.57
2021-10-31,0.28,40.00
2021-11-30,0.21,-25.00
2021-12-31,0.17,-19.05
2022-01-31,0.14,-17.65
2022-02-28,0.13,-7.14
2022-03-31,0.14,7.69
2022-04-30,0.13,-7.14
2022-05-31,0.09,-30.77
2022-06-30,0.07,-22.22
2022-07-31,0.07,0.00
2022-08-31,0.06,-14.29
2022-09-30,0.06,0.00
2022-10-31,0.13,116.67
2022-11-30,0.11,-15.38
2022-12-31,0.07,-36.36
2023-01-31,0.10,42.86
2023-02-28,0.08,-20.00
2023-03-31,0.08,0.00
2023-04-30,0.08,0.00
2023-05-31,0.07,-12.50
2023-06-30,0.07,0.00
2023-07-31,0.08,14.29
2023-08-31,0.06,-25.00
2023-09-30,0.06,0.00
2023-10-31,0.07,16.67
2023-11-30,0.08,14.29
2023-12-31,0.09,12.50
2024-01-31,0.08,-11.11
2024-02-29,0.12,50.00
2024-03-31,0.22,83.33
2024-04-30,0.13,-40.91
2024-05-31,0.16,23.08
2024-06-30,0.12,-25.00
2024-07-31,0.12,0.00
2024-08-31,0.10,-16.67
2024-09-30,0.11,10.00
2024-10-31,0.16,45.45
2024-11-30,0.42,162.50
2024-12-31,0.32,-23.81
2025-01-31,0.33,3.13
2025-02-28,0.21,-36.36
