Date,Close
2021-01-25,17.25
2021-01-26,17.12
2021-01-27,15.50
2021-01-28,16.94
2021-01-29,16.84
2021-01-30,16.51
2021-01-31,16.12
2021-02-01,16.38
2021-02-02,17.26
2021-02-03,20.73
2021-02-04,19.70
2021-02-05,20.90
2021-02-06,20.40
2021-02-07,19.79
2021-02-08,23.03
2021-02-09,23.13
2021-02-10,23.59
2021-02-11,25.23
2021-02-12,28.69
2021-02-13,28.02
2021-02-14,27.10
2021-02-15,27.78
2021-02-16,30.16
2021-02-17,31.99
2021-02-18,31.18
2021-02-19,34.79
2021-02-20,39.24
2021-02-21,39.70
2021-02-22,37.69
2021-02-23,34.30
2021-02-24,33.63
2021-02-25,31.08
2021-02-26,31.35
2021-02-27,33.45
2021-02-28,33.61
2021-03-01,35.58
2021-03-02,36.15
2021-03-03,37.04
2021-03-04,35.33
2021-03-05,33.72
2021-03-06,33.43
2021-03-07,35.19
2021-03-08,34.91
2021-03-09,38.19
2021-03-10,37.57
2021-03-11,36.88
2021-03-12,35.99
2021-03-13,37.16
2021-03-14,36.58
2021-03-15,34.36
2021-03-16,35.43
2021-03-17,36.14
2021-03-18,35.52
2021-03-19,38.27
2021-03-20,37.35
2021-03-21,36.79
2021-03-22,35.54
2021-03-23,34.46
2021-03-24,30.44
2021-03-25,29.98
2021-03-26,33.20
2021-03-27,32.66
2021-03-28,32.30
2021-03-29,34.37
2021-03-30,34.07
2021-03-31,37.03
2021-04-01,37.67
2021-04-02,41.16
2021-04-03,41.65
2021-04-04,44.65
2021-04-05,45.80
2021-04-06,43.43
2021-04-07,39.59
2021-04-08,41.37
2021-04-09,40.85
2021-04-10,41.63
2021-04-11,41.42
2021-04-12,40.50
2021-04-13,42.95
2021-04-14,42.64
2021-04-15,43.52
2021-04-16,41.54
2021-04-17,42.54
2021-04-18,37.35
2021-04-19,34.82
2021-04-20,35.44
2021-04-21,33.87
2021-04-22,32.99
2021-04-23,32.23
2021-04-24,28.93
2021-04-25,29.76
2021-04-26,33.41
2021-04-27,34.70
2021-04-28,33.97
2021-04-29,35.97
2021-04-30,36.54
2021-05-01,36.93
2021-05-02,36.65
2021-05-03,37.26
2021-05-04,34.85
2021-05-05,40.50
2021-05-06,41.53
2021-05-07,39.93
2021-05-08,39.83
2021-05-09,40.31
2021-05-10,36.54
2021-05-11,38.64
2021-05-12,34.03
2021-05-13,40.03
2021-05-14,47.95
2021-05-15,43.54
2021-05-16,42.63
2021-05-17,38.71
2021-05-18,40.65
2021-05-19,25.23
2021-05-20,29.15
2021-05-21,24.46
2021-05-22,22.01
2021-05-23,18.03
2021-05-24,23.20
2021-05-25,22.13
2021-05-26,24.55
2021-05-27,23.85
2021-05-28,21.41
2021-05-29,19.86
2021-05-30,20.47
2021-05-31,23.43
2021-06-01,22.81
2021-06-02,25.96
2021-06-03,27.01
2021-06-04,25.01
2021-06-05,23.82
2021-06-06,24.20
2021-06-07,21.63
2021-06-08,21.75
2021-06-09,23.18
2021-06-10,22.68
2021-06-11,20.99
2021-06-12,20.78
2021-06-13,22.08
2021-06-14,22.21
2021-06-15,24.76
2021-06-16,22.97
2021-06-17,22.51
2021-06-18,21.40
2021-06-19,20.36
2021-06-20,20.67
2021-06-21,15.77
2021-06-22,14.65
2021-06-23,16.14
2021-06-24,16.25
2021-06-25,14.47
2021-06-26,14.50
2021-06-27,15.02
2021-06-28,15.74
2021-06-29,16.25
2021-06-30,16.40
2021-07-01,15.28
2021-07-02,15.34
2021-07-03,15.55
2021-07-04,16.01
2021-07-05,15.24
2021-07-06,16.14
2021-07-07,16.86
2021-07-08,15.34
2021-07-09,15.67
2021-07-10,15.29
2021-07-11,15.48
2021-07-12,14.87
2021-07-13,14.19
2021-07-14,13.80
2021-07-15,13.08
2021-07-16,12.05
2021-07-17,12.29
2021-07-18,12.68
2021-07-19,11.43
2021-07-20,10.98
2021-07-21,12.31
2021-07-22,13.16
2021-07-23,13.40
2021-07-24,13.81
2021-07-25,13.71
2021-07-26,13.95
2021-07-27,14.38
2021-07-28,14.54
2021-07-29,15.24
2021-07-30,15.84
2021-07-31,16.85
2021-08-01,18.41
2021-08-02,18.02
2021-08-03,17.34
2021-08-04,19.16
2021-08-05,19.13
2021-08-06,20.40
2021-08-07,20.97
2021-08-08,19.68
2021-08-09,20.62
2021-08-10,20.61
2021-08-11,21.40
2021-08-12,20.75
2021-08-13,22.71
2021-08-14,22.86
2021-08-15,23.17
2021-08-16,24.54
2021-08-17,23.53
2021-08-18,23.95
2021-08-19,26.55
2021-08-20,28.15
2021-08-21,27.87
2021-08-22,27.74
2021-08-23,27.89
2021-08-24,25.08
2021-08-25,25.94
2021-08-26,23.98
2021-08-27,26.57
2021-08-28,25.97
2021-08-29,25.73
2021-08-30,26.04
2021-08-31,31.47
2021-09-01,33.14
2021-09-02,31.81
2021-09-03,33.67
2021-09-04,32.42
2021-09-05,34.41
2021-09-06,34.31
2021-09-07,27.83
2021-09-08,27.71
2021-09-09,29.84
2021-09-10,29.22
2021-09-11,31.59
2021-09-12,35.77
2021-09-13,34.77
2021-09-14,37.38
2021-09-15,36.46
2021-09-16,35.55
2021-09-17,33.02
2021-09-18,34.90
2021-09-19,33.80
2021-09-20,28.05
2021-09-21,26.32
2021-09-22,31.61
2021-09-23,33.54
2021-09-24,30.84
2021-09-25,29.84
2021-09-26,28.83
2021-09-27,27.77
2021-09-28,26.33
2021-09-29,27.27
2021-09-30,28.58
2021-10-01,31.97
2021-10-02,32.12
2021-10-03,32.11
2021-10-04,31.04
2021-10-05,31.43
2021-10-06,32.29
2021-10-07,33.97
2021-10-08,33.37
2021-10-09,36.33
2021-10-10,34.47
2021-10-11,34.18
2021-10-12,35.16
2021-10-13,41.62
2021-10-14,40.76
2021-10-15,43.16
2021-10-16,41.76
2021-10-17,42.07
2021-10-18,41.18
2021-10-19,41.38
2021-10-20,44.35
2021-10-21,42.85
2021-10-22,43.45
2021-10-23,44.05
2021-10-24,42.39
2021-10-25,44.53
2021-10-26,44.88
2021-10-27,40.41
2021-10-28,41.86
2021-10-29,44.07
2021-10-30,42.75
2021-10-31,42.74
2021-11-01,49.98
2021-11-02,51.63
2021-11-03,53.44
2021-11-04,53.88
2021-11-05,51.89
2021-11-06,52.01
2021-11-07,52.28
2021-11-08,53.35
2021-11-09,50.78
2021-11-10,46.87
2021-11-11,47.65
2021-11-12,45.88
2021-11-13,47.13
2021-11-14,46.40
2021-11-15,44.69
2021-11-16,40.90
2021-11-17,42.71
2021-11-18,39.05
2021-11-19,41.26
2021-11-20,42.06
2021-11-21,42.01
2021-11-22,39.45
2021-11-23,40.79
2021-11-24,39.37
2021-11-25,38.46
2021-11-26,34.39
2021-11-27,35.19
2021-11-28,35.77
2021-11-29,37.16
2021-11-30,37.96
2021-12-01,36.77
2021-12-02,35.76
2021-12-03,33.64
2021-12-04,29.37
2021-12-05,28.31
2021-12-06,28.25
2021-12-07,30.54
2021-12-08,29.87
2021-12-09,26.95
2021-12-10,26.45
2021-12-11,27.77
2021-12-12,29.61
2021-12-13,25.97
2021-12-14,26.17
2021-12-15,27.15
2021-12-16,26.04
2021-12-17,24.66
2021-12-18,25.49
2021-12-19,24.79
2021-12-20,24.05
2021-12-21,25.19
2021-12-22,27.22
2021-12-23,29.11
2021-12-24,28.14
2021-12-25,28.84
2021-12-26,31.33
2021-12-27,30.91
2021-12-28,27.91
2021-12-29,26.74
2021-12-30,27.57
2021-12-31,26.72
2022-01-01,28.58
2022-01-02,29.73
2022-01-03,30.11
2022-01-04,28.78
2022-01-05,26.80
2022-01-06,26.76
2022-01-07,24.93
2022-01-08,24.03
2022-01-09,24.63
2022-01-10,23.78
2022-01-11,25.54
2022-01-12,27.32
2022-01-13,25.83
2022-01-14,27.71
2022-01-15,27.74
2022-01-16,27.67
2022-01-17,25.73
2022-01-18,25.17
2022-01-19,24.13
2022-01-20,22.98
2022-01-21,19.65
2022-01-22,18.23
2022-01-23,18.83
2022-01-24,18.04
2022-01-25,18.35
2022-01-26,18.08
2022-01-27,18.13
2022-01-28,18.34
2022-01-29,18.71
2022-01-30,18.17
2022-01-31,19.42
2022-02-01,19.61
2022-02-02,18.80
2022-02-03,18.81
2022-02-04,20.42
2022-02-05,21.37
2022-02-06,21.90
2022-02-07,22.36
2022-02-08,21.69
2022-02-09,21.93
2022-02-10,20.64
2022-02-11,18.96
2022-02-12,18.82
2022-02-13,18.83
2022-02-14,18.71
2022-02-15,20.14
2022-02-16,19.80
2022-02-17,18.11
2022-02-18,17.85
2022-02-19,17.89
2022-02-20,16.93
2022-02-21,16.19
2022-02-22,16.56
2022-02-23,16.01
2022-02-24,16.17
2022-02-25,17.25
2022-02-26,18.02
2022-02-27,17.47
2022-02-28,18.94
2022-03-01,18.88
2022-03-02,18.59
2022-03-03,18.02
2022-03-04,16.76
2022-03-05,17.31
2022-03-06,16.98
2022-03-07,16.43
2022-03-08,16.95
2022-03-09,17.87
2022-03-10,16.98
2022-03-11,17.73
2022-03-12,18.15
2022-03-13,17.25
2022-03-14,17.70
2022-03-15,17.83
2022-03-16,19.05
2022-03-17,18.75
2022-03-18,18.99
2022-03-19,19.36
2022-03-20,18.64
2022-03-21,18.80
2022-03-22,20.25
2022-03-23,21.00
2022-03-24,21.25
2022-03-25,20.55
2022-03-26,20.89
2022-03-27,22.45
2022-03-28,21.97
2022-03-29,22.49
2022-03-30,22.47
2022-03-31,21.30
2022-04-01,22.02
2022-04-02,22.64
2022-04-03,23.21
2022-04-04,22.66
2022-04-05,21.79
2022-04-06,19.84
2022-04-07,20.43
2022-04-08,19.40
2022-04-09,19.79
2022-04-10,19.29
2022-04-11,17.19
2022-04-12,17.79
2022-04-13,18.20
2022-04-14,17.93
2022-04-15,18.35
2022-04-16,18.63
2022-04-17,17.78
2022-04-18,18.17
2022-04-19,18.90
2022-04-20,19.09
2022-04-21,18.19
2022-04-22,18.30
2022-04-23,18.73
2022-04-24,18.16
2022-04-25,18.12
2022-04-26,16.65
2022-04-27,16.95
2022-04-28,17.00
2022-04-29,16.16
2022-04-30,14.52
2022-05-01,15.38
2022-05-02,14.98
2022-05-03,14.73
2022-05-04,16.31
2022-05-05,14.58
2022-05-06,14.31
2022-05-07,13.78
2022-05-08,13.25
2022-05-09,10.77
2022-05-10,11.36
2022-05-11,8.96
2022-05-12,8.75
2022-05-13,10.49
2022-05-14,11.35
2022-05-15,11.80
2022-05-16,10.62
2022-05-17,11.03
2022-05-18,9.51
2022-05-19,10.04
2022-05-20,9.68
2022-05-21,9.99
2022-05-22,10.19
2022-05-23,9.89
2022-05-24,10.18
2022-05-25,9.87
2022-05-26,9.18
2022-05-27,9.13
2022-05-28,9.67
2022-05-29,9.98
2022-05-30,10.45
2022-05-31,10.37
2022-06-01,9.47
2022-06-02,9.90
2022-06-03,9.38
2022-06-04,9.43
2022-06-05,9.34
2022-06-06,9.49
2022-06-07,9.23
2022-06-08,9.00
2022-06-09,9.23
2022-06-10,8.65
2022-06-11,8.02
2022-06-12,7.45
2022-06-13,7.01
2022-06-14,7.37
2022-06-15,8.51
2022-06-16,7.10
2022-06-17,7.29
2022-06-18,7.06
2022-06-19,7.52
2022-06-20,7.89
2022-06-21,7.74
2022-06-22,7.41
2022-06-23,7.79
2022-06-24,8.21
2022-06-25,8.13
2022-06-26,7.84
2022-06-27,7.74
2022-06-28,7.31
2022-06-29,7.01
2022-06-30,7.04
2022-07-01,6.73
2022-07-02,6.83
2022-07-03,6.84
2022-07-04,7.17
2022-07-05,6.85
2022-07-06,6.93
2022-07-07,7.31
2022-07-08,7.07
2022-07-09,7.26
2022-07-10,6.86
2022-07-11,6.54
2022-07-12,6.30
2022-07-13,6.47
2022-07-14,6.72
2022-07-15,6.81
2022-07-16,7.18
2022-07-17,6.92
2022-07-18,7.68
2022-07-19,7.80
2022-07-20,7.46
2022-07-21,7.53
2022-07-22,7.31
2022-07-23,7.33
2022-07-24,7.41
2022-07-25,6.77
2022-07-26,6.77
2022-07-27,7.67
2022-07-28,7.86
2022-07-29,8.19
2022-07-30,8.21
2022-07-31,8.65
2022-08-01,8.19
2022-08-02,7.94
2022-08-03,8.01
2022-08-04,8.09
2022-08-05,8.81
2022-08-06,8.52
2022-08-07,8.65
2022-08-08,9.27
2022-08-09,8.91
2022-08-10,9.50
2022-08-11,9.21
2022-08-12,9.48
2022-08-13,9.29
2022-08-14,8.96
2022-08-15,8.80
2022-08-16,8.84
2022-08-17,8.36
2022-08-18,8.09
2022-08-19,7.33
2022-08-20,7.23
2022-08-21,7.44
2022-08-22,7.40
2022-08-23,7.64
2022-08-24,7.57
2022-08-25,7.59
2022-08-26,6.92
2022-08-27,7.05
2022-08-28,6.84
2022-08-29,7.28
2022-08-30,7.00
2022-08-31,7.03
2022-09-01,7.19
2022-09-02,7.30
2022-09-03,7.29
2022-09-04,7.37
2022-09-05,7.36
2022-09-06,6.88
2022-09-07,7.20
2022-09-08,7.39
2022-09-09,7.77
2022-09-10,7.79
2022-09-11,7.70
2022-09-12,7.66
2022-09-13,7.13
2022-09-14,7.20
2022-09-15,6.93
2022-09-16,6.90
2022-09-17,7.06
2022-09-18,6.45
2022-09-19,6.40
2022-09-20,6.28
2022-09-21,6.16
2022-09-22,6.45
2022-09-23,6.44
2022-09-24,6.28
2022-09-25,6.20
2022-09-26,6.55
2022-09-27,6.38
2022-09-28,6.39
2022-09-29,6.43
2022-09-30,6.32
2022-10-01,6.27
2022-10-02,6.16
2022-10-03,6.38
2022-10-04,6.49
2022-10-05,6.44
2022-10-06,6.34
2022-10-07,6.33
2022-10-08,6.31
2022-10-09,6.48
2022-10-10,6.26
2022-10-11,6.18
2022-10-12,6.18
2022-10-13,6.12
2022-10-14,6.04
2022-10-15,6.05
2022-10-16,6.19
2022-10-17,6.25
2022-10-18,6.16
2022-10-19,6.11
2022-10-20,5.89
2022-10-21,5.83
2022-10-22,5.85
2022-10-23,5.96
2022-10-24,5.92
2022-10-25,6.45
2022-10-26,6.47
2022-10-27,6.34
2022-10-28,6.52
2022-10-29,6.63
2022-10-30,6.65
2022-10-31,6.63
2022-11-01,6.47
2022-11-02,6.24
2022-11-03,6.43
2022-11-04,7.06
2022-11-05,7.02
2022-11-06,6.82
2022-11-07,7.12
2022-11-08,6.29
2022-11-09,5.41
2022-11-10,5.96
2022-11-11,5.75
2022-11-12,5.77
2022-11-13,5.75
2022-11-14,5.85
2022-11-15,5.92
2022-11-16,5.71
2022-11-17,5.67
2022-11-18,5.64
2022-11-19,5.60
2022-11-20,5.29
2022-11-21,5.19
2022-11-22,5.27
2022-11-23,5.43
2022-11-24,5.39
2022-11-25,5.27
2022-11-26,5.30
2022-11-27,5.30
2022-11-28,5.13
2022-11-29,5.31
2022-11-30,5.47
2022-12-01,5.40
2022-12-02,5.63
2022-12-03,5.50
2022-12-04,5.60
2022-12-05,5.49
2022-12-06,5.50
2022-12-07,5.30
2022-12-08,5.43
2022-12-09,5.29
2022-12-10,5.27
2022-12-11,5.17
2022-12-12,5.17
2022-12-13,5.28
2022-12-14,5.22
2022-12-15,5.23
2022-12-16,4.66
2022-12-17,4.71
2022-12-18,4.66
2022-12-19,4.48
2022-12-20,4.61
2022-12-21,4.48
2022-12-22,4.53
2022-12-23,4.47
2022-12-24,4.45
2022-12-25,4.49
2022-12-26,4.57
2022-12-27,4.48
2022-12-28,4.28
2022-12-29,4.31
2022-12-30,4.32
2022-12-31,4.31
2023-01-01,4.37
2023-01-02,4.49
2023-01-03,4.52
2023-01-04,4.63
2023-01-05,4.62
2023-01-06,4.69
2023-01-07,4.67
2023-01-08,4.80
2023-01-09,4.89
2023-01-10,4.92
2023-01-11,5.13
2023-01-12,5.23
2023-01-13,5.40
2023-01-14,6.02
2023-01-15,5.93
2023-01-16,5.81
2023-01-17,5.96
2023-01-18,5.65
2023-01-19,5.81
2023-01-20,6.26
2023-01-21,6.25
2023-01-22,6.21
2023-01-23,6.58
2023-01-24,6.19
2023-01-25,6.41
2023-01-26,6.47
2023-01-27,6.57
2023-01-28,6.40
2023-01-29,6.62
2023-01-30,6.19
2023-01-31,6.26
2023-02-01,6.47
2023-02-02,6.54
2023-02-03,7.01
2023-02-04,6.88
2023-02-05,6.64
2023-02-06,6.49
2023-02-07,6.94
2023-02-08,6.75
2023-02-09,6.23
2023-02-10,6.19
2023-02-11,6.28
2023-02-12,6.18
2023-02-13,6.12
2023-02-14,6.23
2023-02-15,6.61
2023-02-16,6.33
2023-02-17,7.28
2023-02-18,7.24
2023-02-19,7.44
2023-02-20,7.54
2023-02-21,7.25
2023-02-22,7.18
2023-02-23,7.09
2023-02-24,6.61
2023-02-25,6.54
2023-02-26,6.69
2023-02-27,6.59
2023-02-28,6.34
2023-03-01,6.53
2023-03-02,6.33
2023-03-03,6.03
2023-03-04,5.91
2023-03-05,5.98
2023-03-06,5.92
2023-03-07,5.85
2023-03-08,5.60
2023-03-09,5.38
2023-03-10,5.55
2023-03-11,5.51
2023-03-12,5.92
2023-03-13,6.12
2023-03-14,6.24
2023-03-15,5.89
2023-03-16,6.10
2023-03-17,6.64
2023-03-18,6.33
2023-03-19,6.47
2023-03-20,6.10
2023-03-21,6.38
2023-03-22,6.06
2023-03-23,6.33
2023-03-24,6.03
2023-03-25,5.91
2023-03-26,6.05
2023-03-27,5.87
2023-03-28,6.06
2023-03-29,6.18
2023-03-30,6.12
2023-03-31,6.34
2023-04-01,6.41
2023-04-02,6.27
2023-04-03,6.43
2023-04-04,6.44
2023-04-05,6.40
2023-04-06,6.28
2023-04-07,6.18
2023-04-08,6.14
