Date,Price,MoM_%_Chg
2021-01-31,16.12,
2021-02-28,33.61,
2021-03-31,37.03,
2021-04-30,36.54,
2021-05-31,23.43,
2021-06-30,16.40,
2021-07-31,16.85,
2021-08-31,31.47,
2021-09-30,28.58,
2021-10-31,42.74,
2021-11-30,37.96,
2021-12-31,26.72,
2022-01-31,19.42,
2022-02-28,18.94,
2022-03-31,21.30,
2022-04-30,14.52,
2022-05-31,10.37,
2022-06-30,7.04,
2022-07-31,8.65,
2022-08-31,7.03,
2022-09-30,6.32,
2022-10-31,6.63,
2022-11-30,5.47,
2022-12-31,4.31,
2023-01-31,6.26,
2023-02-28,6.34,
2023-03-31,6.34,
2023-04-30,5.90,
2023-05-31,5.32,
2023-06-30,5.17,
2023-07-31,5.11,
2023-08-31,4.27,
2023-09-30,4.11,
2023-10-31,4.45,
2023-11-30,5.47,
2023-12-31,8.19,
2024-01-31,6.66,
2024-02-29,8.26,
2024-03-31,9.64,
2024-04-30,6.42,
2024-05-31,6.99,
2024-06-30,6.21,
2024-07-31,5.39,
2024-08-31,4.26,
2024-09-30,4.44,
2024-10-31,3.96,
2024-11-30,8.97,
2024-12-31,6.63,
2025-01-31,6.32,
