Date,Price,MoM_%_Chg
2021-01-31,1314.99,
2021-02-28,1416.05,7.69
2021-03-31,1918.36,35.47
2021-04-30,2773.21,44.56
2021-05-31,2714.95,-2.10
2021-06-30,2274.55,-16.22
2021-07-31,2536.21,11.50
2021-08-31,3433.73,35.39
2021-09-30,3001.68,-12.58
2021-10-31,4288.07,42.86
2021-11-30,4631.48,8.01
2021-12-31,3682.63,-20.49
2022-01-31,2688.28,-27.00
2022-02-28,2919.20,8.59
2022-03-31,3281.64,12.42
2022-04-30,2730.19,-16.80
2022-05-31,1942.33,-28.86
2022-06-30,1067.30,-45.05
2022-07-31,1681.52,57.55
2022-08-31,1553.68,-7.60
2022-09-30,1327.98,-14.53
2022-10-31,1572.71,18.43
2022-11-30,1295.69,-17.61
2022-12-31,1196.77,-7.63
2023-01-31,1586.54,32.57
2023-02-28,1605.90,1.22
2023-03-31,1822.02,13.46
2023-04-30,1876.92,3.01
2023-05-31,1874.13,-0.15
2023-06-30,1933.19,3.15
2023-07-31,1856.16,-3.98
2023-08-31,1645.64,-11.34
2023-09-30,1671.16,1.55
2023-10-31,1816.46,8.69
2023-11-30,2052.56,13.00
2023-12-31,2281.47,11.15
2024-01-31,2282.54,0.05
2024-02-29,3341.92,46.41
2024-03-31,3647.86,9.15
2024-04-30,3012.29,-17.42
2024-05-31,3760.03,24.82
2024-06-30,3432.89,-8.70
2024-07-31,3231.30,-5.87
2024-08-31,2513.39,-22.22
2024-09-30,2603.06,3.57
2024-10-31,2515.80,-3.35
2024-11-30,3705.71,47.30
2024-12-31,3332.53,-10.07
2025-01-31,3298.27,-1.03
2025-02-28,2237.91,-32.15
