Date,Close,MoM_Change_%
2021-05-31,0.58,
2021-06-30,0.94,62.07
2021-07-31,1.13,20.21
2021-08-31,1.37,21.24
2021-09-30,1.35,-1.46
2021-10-31,1.71,26.67
2021-11-30,0.51,-70.18
2021-12-31,0.43,-15.69
2022-01-31,0.35,-18.60
2022-02-28,0.40,14.29
2022-03-31,0.41,2.50
2022-04-30,0.35,-14.63
2022-05-31,0.27,-22.86
2022-06-30,0.17,-37.04
2022-07-31,0.21,23.53
2022-08-31,0.14,-33.33
2022-09-30,0.13,-7.14
2022-10-31,0.14,7.69
2022-11-30,0.12,-14.29
2022-12-31,0.08,-33.33
2023-01-31,0.12,50.00
2023-02-28,0.12,0.00
2023-03-31,0.14,16.67
2023-04-30,0.14,0.00
2023-05-31,0.16,14.29
2023-06-30,0.15,-6.25
2023-07-31,0.13,-13.33
2023-08-31,0.12,-7.69
2023-09-30,0.13,8.33
2023-10-31,0.16,23.08
2023-11-30,0.18,12.50
2023-12-31,0.19,5.56
2024-01-31,0.19,0.00
2024-02-29,0.03,-84.21
2024-03-31,0.03,0.00
2024-04-30,0.03,0.00
2024-05-31,0.03,0.00
2024-06-30,0.03,0.00
2025-02-25,0.03,0.00
