Date,Close,MoM_Change_%
2020-01-31,0.87,
2020-02-29,0.96,10.34
2020-03-31,1.05,9.38
2020-04-30,1.07,1.90
2020-05-31,1.19,11.21
2020-06-30,1.25,5.04
2020-07-31,1.26,0.80
2020-08-31,1.28,1.59
2020-09-30,1.27,-0.78
2020-10-31,1.26,-0.79
2020-11-30,1.37,8.73
2020-12-31,1.36,-0.73
2021-01-31,1.30,-4.41
2021-02-28,2.10,61.54
2021-03-31,2.05,-2.38
2021-04-30,2.45,19.51
2021-05-31,2.67,8.98
2021-06-30,2.41,-9.74
2021-07-31,3.09,28.22
2021-08-31,2.97,-3.88
2021-09-30,2.90,-2.36
2021-10-31,3.32,14.48
2021-11-30,3.34,0.60
2021-12-31,3.80,13.77
2022-01-31,4.25,11.84
2022-02-28,5.93,39.53
2022-03-31,5.98,0.84
2022-04-30,5.56,-7.02
2022-05-31,4.87,-12.41
2022-06-30,5.78,18.69
2022-07-31,5.17,-10.55
2022-08-31,5.55,7.35
2022-09-30,4.12,-25.77
2022-10-31,4.54,10.19
2022-11-30,3.87,-14.76
2022-12-31,3.52,-9.04
2023-01-31,3.36,-4.55
2023-02-28,3.34,-0.60
2023-03-31,3.40,1.80
2023-04-30,3.59,5.59
2023-05-31,3.50,-2.51
2023-06-30,4.15,18.57
2023-07-31,3.97,-4.34
2023-08-31,3.88,-2.27
2023-09-30,3.66,-5.67
2023-10-31,3.90,6.56
2023-11-30,3.97,1.79
2023-12-31,3.97,0.00
2024-01-31,3.99,0.50
2024-02-29,4.75,19.05
2024-03-31,6.08,28.00
2024-04-30,5.86,-3.62
2024-05-31,5.94,1.37
2024-06-30,5.78,-2.69
2024-07-31,5.84,1.04
2024-08-31,5.85,0.17
2024-09-30,5.95,1.71
2024-10-31,6.05,1.68
2024-11-30,8.63,42.64
2024-12-31,9.08,5.21
2025-01-31,9.76,7.49
2025-02-25,8.83,-9.53
