Date,Close,MoM_Change_%
2020-02-01,2.84,
2020-03-01,3.88,36.62
2020-04-01,2.28,-41.24
2020-05-01,3.78,65.79
2020-06-01,4.38,15.87
2020-07-01,4.70,7.31
2020-08-01,8.30,76.60
2020-09-01,16.12,94.22
2020-10-01,9.65,-40.14
2020-11-01,11.54,19.59
2020-12-01,13.39,16.03
2021-01-01,11.87,-11.35
2021-02-01,22.84,92.42
2021-03-01,27.61,20.88
2021-04-01,30.23,9.49
2021-05-01,41.12,36.02
2021-06-01,30.70,-25.34
2021-07-01,18.27,-40.49
2021-08-01,22.13,21.13
2021-09-01,29.74,34.39
2021-10-01,26.30,-11.57
2021-11-01,31.57,20.04
2021-12-01,25.36,-19.67
2022-01-01,20.67,-18.49
2022-02-01,17.02,-17.66
2022-03-01,15.33,-9.93
2022-04-01,17.31,12.92
2022-05-01,11.31,-34.66
2022-06-01,6.93,-38.73
2022-07-01,6.07,-12.41
2022-08-01,7.59,25.04
2022-09-01,6.90,-9.09
2022-10-01,7.39,7.10
2022-11-01,7.69,4.06
2022-12-01,7.69,0.00
2023-01-01,5.62,-26.92
2023-02-01,7.22,28.47
2023-03-01,7.53,4.29
2023-04-01,7.47,-0.80
2023-05-01,6.90,-7.63
2023-06-01,6.35,-7.97
2023-07-01,6.50,2.36
2023-08-01,7.63,17.38
2023-09-01,5.93,-22.28
2023-10-01,8.05,35.75
2023-11-01,11.62,44.35
2023-12-01,14.98,28.92
2024-01-01,15.54,3.74
2024-02-01,17.18,10.55
2024-03-01,20.06,16.76
2024-04-01,18.38,-8.37
2024-05-01,13.34,-27.42
2024-06-01,18.41,38.01
2024-07-01,14.33,-22.16
2024-08-01,12.90,-9.98
2024-09-01,10.37,-19.61
2024-10-01,11.03,6.36
2024-11-01,11.27,2.18
2024-12-01,18.89,67.61
2025-01-01,21.67,14.72
2025-02-01,23.05,6.37
2025-02-25,15.29,-33.67
