Date,Close,MoM_Change_%
2020-02-01,70.82,
2020-03-01,57.96,-18.16
2020-04-01,39.38,-32.06
2020-05-01,47.79,21.36
2020-06-01,48.13,0.71
2020-07-01,41.70,-13.36
2020-08-01,61.29,46.98
2020-09-01,62.88,2.59
2020-10-01,46.31,-26.35
2020-11-01,55.59,20.04
2020-12-01,85.44,53.70
2021-01-01,126.23,47.74
2021-02-01,131.95,4.53
2021-03-01,175.24,32.81
2021-04-01,204.11,16.47
2021-05-01,276.83,35.63
2021-06-01,182.98,-33.90
2021-07-01,137.58,-24.81
2021-08-01,140.74,2.30
2021-09-01,180.97,28.58
2021-10-01,166.13,-8.20
2021-11-01,197.55,18.91
2021-12-01,208.97,5.78
2022-01-01,150.70,-27.88
2022-02-01,115.40,-23.42
2022-03-01,112.54,-2.48
2022-04-01,124.88,10.96
2022-05-01,99.44,-20.37
2022-06-01,62.97,-36.68
2022-07-01,51.12,-18.82
2022-08-01,59.54,16.47
2022-09-01,57.53,-3.38
2022-10-01,52.91,-8.03
2022-11-01,55.13,4.20
2022-12-01,77.52,40.61
2023-01-01,70.82,-8.64
2023-02-01,100.44,41.82
2023-03-01,97.74,-2.69
2023-04-01,92.88,-4.97
2023-05-01,86.74,-6.61
2023-06-01,93.97,8.34
2023-07-01,107.23,14.11
2023-08-01,93.82,-12.51
2023-09-01,63.01,-32.84
2023-10-01,68.23,8.28
2023-11-01,69.94,2.51
2023-12-01,71.54,2.29
2024-01-01,74.73,4.46
2024-02-01,67.52,-9.65
2024-03-01,85.08,26.01
2024-04-01,99.38,16.81
2024-05-01,80.10,-19.40
2024-06-01,83.43,4.16
2024-07-01,74.34,-10.90
2024-08-01,69.57,-6.42
2024-09-01,63.53,-8.68
2024-10-01,63.42,-0.17
2024-11-01,70.21,10.71
2024-12-01,119.87,70.73
2025-01-01,104.81,-12.56
2025-02-01,118.92,13.46
2025-02-25,115.97,-2.48
