Date,Close,MoM_Change_%
2020-11-01,0.63,
2020-12-01,1.06,68.25
2021-01-01,1.36,28.30
2021-02-01,2.25,65.44
2021-03-01,4.20,86.67
2021-04-01,5.99,42.62
2021-05-01,5.48,-8.51
2021-06-01,3.22,-41.24
2021-07-01,2.08,-35.40
2021-08-01,2.39,14.90
2021-09-01,5.50,130.13
2021-10-01,7.82,42.18
2021-11-01,10.18,30.18
2021-12-01,8.51,-16.40
2022-01-01,15.17,78.26
2022-02-01,11.22,-26.04
2022-03-01,11.80,5.17
2022-04-01,14.68,24.41
2022-05-01,11.84,-19.35
2022-06-01,5.35,-54.81
2022-07-01,3.35,-37.38
2022-08-01,4.28,27.76
2022-09-01,4.34,1.40
2022-10-01,3.55,-18.20
2022-11-01,3.02,-14.93
2022-12-01,1.74,-42.38
2023-01-01,1.28,-26.44
2023-02-01,2.43,89.84
2023-03-01,2.32,-4.53
2023-04-01,1.98,-14.66
2023-05-01,1.84,-7.07
2023-06-01,1.55,-15.76
2023-07-01,1.48,-4.52
2023-08-01,1.41,-4.73
2023-09-01,1.13,-19.86
2023-10-01,1.16,2.65
2023-11-01,1.53,31.90
2023-12-01,1.89,23.53
2024-01-01,3.80,101.06
2024-02-01,2.85,-25.00
2024-03-01,3.96,38.95
2024-04-01,6.74,70.20
2024-05-01,6.15,-8.75
2024-06-01,7.37,19.84
2024-07-01,5.26,-28.63
2024-08-01,4.99,-5.13
2024-09-01,3.85,-22.85
2024-10-01,4.84,25.71
2024-11-01,3.93,-18.80
2024-12-01,6.92,76.08
2025-01-01,5.28,-23.70
2025-02-01,4.27,-19.13
2025-02-25,3.03,-29.04
