Date,Close,MoM_Change_%
2020-05-01,0.73,
2020-06-01,0.58,-20.55
2020-07-01,0.83,43.10
2020-08-01,1.53,84.34
2020-09-01,4.34,183.66
2020-10-01,2.86,-34.10
2020-11-01,1.60,-44.06
2020-12-01,1.98,23.75
2021-01-01,1.84,-7.07
2021-02-01,4.61,150.54
2021-03-01,14.96,224.51
2021-04-01,19.08,27.54
2021-05-01,49.51,159.49
2021-06-01,30.99,-37.41
2021-07-01,33.40,7.78
2021-08-01,34.25,2.54
2021-09-01,111.03,224.18
2021-10-01,161.68,45.62
2021-11-01,203.55,25.90
2021-12-01,229.80,12.90
2022-01-01,178.52,-22.32
2022-02-01,109.98,-38.39
2022-03-01,98.65,-10.30
2022-04-01,134.43,36.27
2022-05-01,89.67,-33.30
2022-06-01,40.27,-55.09
2022-07-01,32.80,-18.55
2022-08-01,41.79,27.41
2022-09-01,31.59,-24.41
2022-10-01,32.47,2.79
2022-11-01,32.25,-0.68
2022-12-01,13.48,-58.20
2023-01-01,9.98,-25.96
2023-02-01,24.99,150.40
2023-03-01,22.51,-9.92
2023-04-01,20.98,-6.80
2023-05-01,21.99,4.81
2023-06-01,20.50,-6.78
2023-07-01,18.68,-8.88
2023-08-01,24.00,28.48
2023-09-01,19.33,-19.46
2023-10-01,23.84,23.33
2023-11-01,41.46,73.91
2023-12-01,59.80,44.24
2024-01-01,109.51,83.13
2024-02-01,97.85,-10.65
2024-03-01,129.99,32.85
2024-04-01,192.57,48.14
2024-05-01,134.63,-30.09
2024-06-01,166.03,23.32
2024-07-01,146.60,-11.70
2024-08-01,167.67,14.37
2024-09-01,128.69,-23.25
2024-10-01,145.29,12.90
2024-11-01,166.26,14.43
2024-12-01,237.07,42.59
2025-01-01,193.87,-18.22
2025-02-01,213.79,10.27
2025-02-25,141.46,-33.83
