Date,Price,MoM_%_Chg
2021-01-31,4.26,
2021-02-28,13.09,
2021-03-31,19.47,
2021-04-30,42.96,
2021-05-31,32.82,
2021-06-30,35.56,
2021-07-31,36.83,
2021-08-31,108.48,
2021-09-30,141.07,
2021-10-31,202.42,
2021-11-30,208.67,
2021-12-31,170.30,
2022-01-31,99.74,
2022-02-28,99.52,
2022-03-31,122.66,
2022-04-30,85.10,
2022-05-31,45.77,
2022-06-30,33.59,
2022-07-31,42.40,
2022-08-31,31.47,
2022-09-30,33.21,
2022-10-31,32.61,
2022-11-30,14.12,
2022-12-31,9.96,
2023-01-31,23.95,
2023-02-28,21.92,
2023-03-31,21.17,
2023-04-30,22.83,
2023-05-31,20.82,
2023-06-30,18.90,
2023-07-31,23.72,
2023-08-31,19.74,
2023-09-30,21.40,
2023-10-31,38.52,
2023-11-30,59.24,
2023-12-31,101.51,
2024-01-31,97.03,
2024-02-29,125.71,
2024-03-31,202.87,
2024-04-30,126.96,
2024-05-31,165.64,
2024-06-30,146.49,
2024-07-31,171.83,
2024-08-31,135.37,
2024-09-30,152.62,
2024-10-31,168.43,
2024-11-30,237.74,
2024-12-31,189.26,
2025-01-31,231.64,
