Date,Close,MoM_Change_%
2022-04-01,0.01,
2022-05-01,0.01,0.00
2022-06-01,0.00,-100.00
2022-07-01,0.00,
2022-08-01,0.00,
2022-09-01,0.00,
2022-10-01,0.00,
2022-11-01,0.01,
2022-12-01,0.01,0.00
2023-01-01,0.00,-100.00
2023-02-01,0.01,
2023-03-01,0.01,0.00
2023-04-01,0.01,0.00
2023-05-01,0.01,0.00
2023-06-01,0.01,0.00
2023-07-01,0.01,0.00
2023-08-01,0.00,-100.00
2023-09-01,0.00,
2023-10-01,0.00,
2023-11-01,0.00,
2023-12-01,0.00,
2024-01-01,0.00,
2024-02-01,0.00,
2024-03-01,0.00,
2024-04-01,0.00,
2024-05-01,0.00,
2024-06-01,0.00,
2024-06-04,0.00,
