Date,Close
2023-03-05,0.13
2023-03-06,87.78
2023-03-07,85.22
2023-03-08,79.79
2023-03-09,75.63
2023-03-10,76.96
2023-03-11,76.08
2023-03-12,73.45
2023-03-13,79.60
2023-03-14,83.40
2023-03-15,80.20
2023-03-16,79.17
2023-03-17,74.82
2023-03-18,75.99
2023-03-19,75.27
2023-03-20,84.10
2023-03-21,80.21
2023-03-22,78.95
2023-03-23,72.05
2023-03-24,73.71
2023-03-25,71.40
2023-03-26,70.00
2023-03-27,69.27
2023-03-28,66.39
2023-03-29,65.08
2023-03-30,66.17
2023-03-31,62.90
2023-04-01,57.92
2023-04-02,59.82
2023-04-03,59.85
2023-04-04,59.76
2023-04-05,58.57
2023-04-06,60.58
2023-04-07,57.09
2023-04-08,60.38
2023-04-09,55.90
2023-04-10,58.73
2023-04-11,61.24
2023-04-12,61.35
2023-04-13,62.97
2023-04-14,62.00
2023-04-15,59.55
2023-04-16,57.29
2023-04-17,57.45
2023-04-18,55.82
2023-04-19,55.55
2023-04-20,53.67
2023-04-21,53.44
2023-04-22,51.09
2023-04-23,47.91
2023-04-24,48.44
2023-04-25,47.06
2023-04-26,49.04
2023-04-27,46.99
2023-04-28,48.20
2023-04-29,44.59
2023-04-30,42.34
2023-05-01,41.41
2023-05-02,44.34
2023-05-03,47.29
2023-05-04,43.58
2023-05-05,40.14
2023-05-06,38.91
2023-05-07,42.79
2023-05-08,40.90
2023-05-09,38.89
2023-05-10,39.57
2023-05-11,37.98
2023-05-12,35.28
2023-05-13,35.27
2023-05-14,35.10
2023-05-15,34.09
2023-05-16,43.99
2023-05-17,49.73
2023-05-18,47.92
2023-05-19,50.05
2023-05-20,53.99
2023-05-21,47.88
2023-05-22,48.55
2023-05-23,49.61
2023-05-24,44.19
2023-05-25,46.25
2023-05-26,58.66
2023-05-27,64.32
2023-05-28,62.99
2023-05-29,66.96
2023-05-30,62.29
2023-05-31,58.92
2023-06-01,54.54
2023-06-02,64.78
2023-06-03,62.13
2023-06-04,57.67
2023-06-05,51.25
2023-06-06,54.52
2023-06-07,49.67
2023-06-08,50.94
2023-06-09,50.99
2023-06-10,45.94
2023-06-11,50.24
2023-06-12,52.92
2023-06-13,55.96
2023-06-14,56.84
2023-06-15,49.39
2023-06-16,53.88
2023-06-17,54.39
2023-06-18,49.86
2023-06-19,52.61
2023-06-20,53.91
2023-06-21,58.97
2023-06-22,51.87
2023-06-23,52.81
2023-06-24,50.88
2023-06-25,50.28
2023-06-26,47.19
2023-06-27,48.90
2023-06-28,49.57
2023-06-29,50.43
2023-06-30,50.69
2023-07-01,47.90
2023-07-02,46.75
2023-07-03,46.15
2023-07-04,46.07
2023-07-05,47.60
2023-07-06,48.36
2023-07-07,49.23
2023-07-08,53.02
2023-07-09,50.25
2023-07-10,55.83
2023-07-11,60.99
2023-07-12,68.41
2023-07-13,71.87
2023-07-14,67.71
2023-07-15,68.01
2023-07-16,63.94
2023-07-17,66.37
2023-07-18,69.62
2023-07-19,75.71
2023-07-20,70.59
2023-07-21,80.73
2023-07-22,84.36
2023-07-23,83.80
2023-07-24,87.07
2023-07-25,86.18
2023-07-26,85.90
2023-07-27,82.56
2023-07-28,80.90
2023-07-29,80.16
2023-07-30,74.61
2023-07-31,68.27
2023-08-01,73.50
2023-08-02,67.70
2023-08-03,67.27
2023-08-04,64.79
2023-08-05,61.59
2023-08-06,64.41
2023-08-07,64.61
2023-08-08,65.85
2023-08-09,68.46
2023-08-10,68.21
2023-08-11,65.33
2023-08-12,65.09
2023-08-13,64.43
2023-08-14,62.98
2023-08-15,63.80
2023-08-16,60.71
2023-08-17,59.61
2023-08-18,64.40
2023-08-19,64.15
2023-08-20,62.35
2023-08-21,63.58
2023-08-22,61.35
2023-08-23,60.82
2023-08-24,59.91
2023-08-25,60.85
2023-08-26,59.98
2023-08-27,60.81
2023-08-28,59.57
