Date,Price,MoM_%_Chg
2023-03-31,62.90,
2023-04-30,42.34,-32.69
2023-05-31,58.92,39.16
2023-06-30,50.69,-13.97
2023-07-31,68.27,34.68
2023-08-31,55.47,-18.75
2023-09-30,55.05,-0.76
2023-10-31,85.26,54.88
2023-11-30,287.97,237.76
2023-12-31,266.40,-7.49
2024-01-31,468.26,75.77
2024-02-29,619.05,32.20
2024-03-31,522.97,-15.52
2024-04-30,388.36,-25.74
2024-05-31,389.13,0.20
2024-06-30,271.71,-30.18
2024-07-31,302.10,11.18
2024-08-31,281.54,-6.81
2024-09-30,578.02,105.31
2024-10-31,484.13,-16.24
2024-11-30,678.02,40.05
2024-12-31,440.71,-35.00
2025-01-31,448.70,1.81
2025-02-28,360.21,-19.72
