Date,Close,MoM_Change_%
2020-08-31,6.82,
2020-09-30,4.05,-40.62
2020-10-31,2.46,-39.26
2020-11-30,2.71,10.16
2020-12-31,2.63,-2.95
2021-01-31,2.38,-9.51
2021-02-28,5.51,131.51
2021-03-31,11.73,112.89
2021-04-30,13.38,14.07
2021-05-31,7.72,-42.30
2021-06-30,5.11,-33.81
2021-07-31,6.88,34.64
2021-08-31,9.06,31.69
2021-09-30,7.67,-15.34
2021-10-31,8.74,13.95
2021-11-30,8.84,1.14
2021-12-31,5.43,-38.57
2022-01-31,3.88,-28.55
2022-02-28,4.03,3.87
2022-03-31,5.10,26.55
2022-04-30,3.46,-32.16
2022-05-31,2.33,-32.66
2022-06-30,1.74,-25.32
2022-07-31,2.17,24.71
2022-08-31,1.76,-18.89
2022-09-30,1.58,-10.23
2022-10-31,1.64,3.80
2022-11-30,1.21,-26.22
2022-12-31,1.06,-12.40
2023-01-31,1.40,32.08
2023-02-28,1.84,31.43
2023-03-31,1.87,1.63
2023-04-30,1.68,-10.16
2023-05-31,1.44,-14.29
2023-06-30,1.51,4.86
2023-07-31,1.53,1.32
2023-08-31,1.21,-20.92
2023-09-30,1.14,-5.79
2023-10-31,1.52,33.33
2023-11-30,2.37,55.92
2023-12-31,2.26,-4.64
2024-01-31,2.03,-10.18
2024-02-29,2.59,27.59
2024-03-31,2.98,15.06
2024-04-30,2.16,-27.52
2024-05-31,1.99,-7.87
2024-06-30,1.18,-40.70
2024-07-31,1.19,0.85
2024-08-31,0.99,-16.81
2024-09-30,1.11,12.12
2024-10-31,1.03,-7.21
2024-11-30,2.25,118.45
2024-12-31,1.60,-28.89
2025-01-31,0.02,-98.75
2025-02-25,0.18,800.00
