Date,Close,MoM_Change_%
2020-02-01,0.02,
2020-03-01,0.02,0.00
2020-04-01,0.01,-50.00
2020-05-01,0.02,100.00
2020-06-01,0.02,0.00
2020-07-01,0.02,0.00
2020-08-01,0.02,0.00
2020-09-01,0.03,50.00
2020-10-01,0.03,0.00
2020-11-01,0.03,0.00
2020-12-01,0.03,0.00
2021-01-01,0.03,0.00
2021-02-01,0.03,0.00
2021-03-01,0.05,66.67
2021-04-01,0.09,80.00
2021-05-01,0.13,44.44
2021-06-01,0.08,-38.46
2021-07-01,0.06,-25.00
2021-08-01,0.06,0.00
2021-09-01,0.10,66.67
2021-10-01,0.09,-10.00
2021-11-01,0.10,11.11
2021-12-01,0.10,0.00
2022-01-01,0.08,-20.00
2022-02-01,0.06,-25.00
2022-03-01,0.06,0.00
2022-04-01,0.07,16.67
2022-05-01,0.07,0.00
2022-06-01,0.08,14.29
2022-07-01,0.06,-25.00
2022-08-01,0.07,16.67
2022-09-01,0.06,-14.29
2022-10-01,0.06,0.00
2022-11-01,0.06,0.00
2022-12-01,0.05,-16.67
2023-01-01,0.05,0.00
2023-02-01,0.06,20.00
2023-03-01,0.07,16.67
2023-04-01,0.07,0.00
2023-05-01,0.07,0.00
2023-06-01,0.07,0.00
2023-07-01,0.08,14.29
2023-08-01,0.08,0.00
2023-09-01,0.08,0.00
2023-10-01,0.09,12.50
2023-11-01,0.10,11.11
2023-12-01,0.10,0.00
2024-01-01,0.11,10.00
2024-02-01,0.12,9.09
2024-03-01,0.14,16.67
2024-04-01,0.12,-14.29
2024-05-01,0.12,0.00
2024-06-01,0.11,-8.33
2024-07-01,0.13,18.18
2024-08-01,0.13,0.00
2024-09-01,0.16,23.08
2024-10-01,0.15,-6.25
2024-11-01,0.17,13.33
2024-12-01,0.21,23.53
2025-01-01,0.26,23.81
2025-02-01,0.24,-7.69
2025-02-25,0.24,0.00
