Date,Close,MoM_Change_%
2020-01-31,0.06,
2020-02-29,0.06,0.00
2020-03-31,0.04,-33.33
2020-04-30,0.07,75.00
2020-05-31,0.08,14.29
2020-06-30,0.07,-12.50
2020-07-31,0.11,57.14
2020-08-31,0.10,-9.09
2020-09-30,0.07,-30.00
2020-10-31,0.08,14.29
2020-11-30,0.18,125.00
2020-12-31,0.13,-27.78
2021-01-31,0.32,146.15
2021-02-28,0.43,34.37
2021-03-31,0.43,0.00
2021-04-30,0.54,25.58
2021-05-31,0.42,-22.22
2021-06-30,0.27,-35.71
2021-07-31,0.28,3.70
2021-08-31,0.35,25.00
2021-09-30,0.30,-14.29
2021-10-31,0.37,23.33
2021-11-30,0.33,-10.81
2021-12-31,0.28,-15.15
2022-01-31,0.20,-28.57
2022-02-28,0.20,0.00
2022-03-31,0.23,15.00
2022-04-30,0.18,-21.74
2022-05-31,0.14,-22.22
2022-06-30,0.11,-21.43
2022-07-31,0.12,9.09
2022-08-31,0.11,-8.33
2022-09-30,0.12,9.09
2022-10-31,0.11,-8.33
2022-11-30,0.09,-18.18
2022-12-31,0.07,-22.22
2023-01-31,0.09,28.57
2023-02-28,0.09,0.00
2023-03-31,0.11,22.22
2023-04-30,0.09,-18.18
2023-05-31,0.09,0.00
2023-06-30,0.11,22.22
2023-07-31,0.15,36.36
2023-08-31,0.11,-26.67
2023-09-30,0.11,0.00
2023-10-31,0.12,9.09
2023-11-30,0.12,0.00
2023-12-31,0.13,8.33
2024-01-31,0.11,-15.38
2024-02-29,0.13,18.18
2024-03-31,0.14,7.69
2024-04-30,0.11,-21.43
2024-05-31,0.11,0.00
2024-06-30,0.09,-18.18
2024-07-31,0.10,11.11
2024-08-31,0.09,-10.00
2024-09-30,0.09,0.00
2024-10-31,0.09,0.00
2024-11-30,0.57,533.33
2024-12-31,0.42,-26.32
2025-01-31,0.41,-2.38
2025-02-25,0.30,-26.83
