Date,Close,MoM_Change_%
2020-02-01,73.34,
2020-03-01,64.74,-11.73
2020-04-01,48.51,-25.07
2020-05-01,63.77,31.46
2020-06-01,67.64,6.07
2020-07-01,64.61,-4.48
2020-08-01,89.26,38.15
2020-09-01,97.14,8.83
2020-10-01,102.66,5.68
2020-11-01,126.56,23.28
2020-12-01,125.93,-0.50
2021-01-01,136.05,8.04
2021-02-01,143.74,5.65
2021-03-01,230.23,60.17
2021-04-01,252.50,9.67
2021-05-01,426.28,68.82
2021-06-01,265.77,-37.65
2021-07-01,206.56,-22.28
2021-08-01,236.23,14.36
2021-09-01,303.30,28.39
2021-10-01,257.83,-14.99
2021-11-01,271.11,5.15
2021-12-01,230.86,-14.85
2022-01-01,250.21,8.38
2022-02-01,146.16,-41.59
2022-03-01,177.53,21.46
2022-04-01,218.31,22.97
2022-05-01,212.67,-2.58
2022-06-01,198.62,-6.61
2022-07-01,115.04,-42.08
2022-08-01,160.91,39.87
2022-09-01,153.88,-4.37
2022-10-01,140.87,-8.45
2022-11-01,149.67,6.25
2022-12-01,144.35,-3.55
2023-01-01,148.58,2.93
2023-02-01,177.81,19.67
2023-03-01,152.67,-14.14
2023-04-01,158.12,3.57
2023-05-01,152.61,-3.48
2023-06-01,146.52,-3.99
2023-07-01,167.01,13.98
2023-08-01,160.27,-4.04
2023-09-01,140.82,-12.14
2023-10-01,149.16,5.92
2023-11-01,171.64,15.07
2023-12-01,171.57,-0.04
2024-01-01,169.61,-1.14
2024-02-01,166.48,-1.85
2024-03-01,142.99,-14.11
2024-04-01,123.14,-13.88
2024-05-01,123.55,0.33
2024-06-01,148.78,20.42
2024-07-01,168.26,13.09
2024-08-01,156.54,-6.97
2024-09-01,169.71,8.41
2024-10-01,144.67,-14.75
2024-11-01,156.46,8.15
2024-12-01,163.20,4.31
2025-01-01,195.40,19.73
2025-02-01,234.28,19.90
2025-02-25,230.09,-1.79
