Date,Close,MoM_Change_%
2020-01-31,0.24,
2020-02-29,0.23,-4.17
2020-03-31,0.18,-21.74
2020-04-30,0.22,22.22
2020-05-31,0.21,-4.55
2020-06-30,0.18,-14.29
2020-07-31,0.29,61.11
2020-08-31,0.30,3.45
2020-09-30,0.24,-20.00
2020-10-31,0.24,0.00
2020-11-30,0.61,154.17
2020-12-31,0.24,-60.66
2021-01-31,0.37,54.17
2021-02-28,0.45,21.62
2021-03-31,0.58,28.89
2021-04-30,1.65,184.48
2021-05-31,1.01,-38.79
2021-06-30,0.66,-34.65
2021-07-31,0.73,10.61
2021-08-31,1.23,68.49
2021-09-30,1.04,-15.45
2021-10-31,1.09,4.81
2021-11-30,0.99,-9.17
2021-12-31,0.85,-14.14
2022-01-31,0.63,-25.88
2022-02-28,0.78,23.81
2022-03-31,0.83,6.41
2022-04-30,0.61,-26.51
2022-05-31,0.40,-34.43
2022-06-30,0.31,-22.50
2022-07-31,0.38,22.58
2022-08-31,0.33,-13.16
2022-09-30,0.48,45.45
2022-10-31,0.46,-4.17
2022-11-30,0.40,-13.04
2022-12-31,0.34,-15.00
2023-01-31,0.41,20.59
2023-02-28,0.38,-7.32
2023-03-31,0.51,34.21
2023-04-30,0.46,-9.80
2023-05-31,0.51,10.87
2023-06-30,0.47,-7.84
2023-07-31,0.71,51.06
2023-08-31,0.50,-29.58
2023-09-30,0.52,4.00
2023-10-31,0.61,17.31
2023-11-30,0.61,0.00
2023-12-31,0.63,3.28
2024-01-31,0.51,-19.05
2024-02-29,0.60,17.65
2024-03-31,0.61,1.67
2024-04-30,0.52,-14.75
2024-05-31,0.52,0.00
2024-06-30,0.48,-7.69
2024-07-31,0.60,25.00
2024-08-31,0.55,-8.33
2024-09-30,0.60,9.09
2024-10-31,0.51,-15.00
2024-11-30,2.32,354.90
2024-12-31,2.32,0.00
2025-01-31,3.04,31.03
2025-02-25,2.27,-25.33
