Date,Close,MoM_Change_%
2020-07-31,3808.30,
2020-08-31,32139.30,743.93
2020-09-30,22793.34,-29.08
2020-10-31,10672.27,-53.18
2020-11-30,25748.99,141.27
2020-12-31,21901.97,-14.94
2021-01-31,30955.09,41.33
2021-02-28,34841.91,12.56
2021-03-31,36700.38,5.33
2021-04-30,49834.43,35.79
2021-05-31,45135.84,-9.43
2021-06-30,32054.48,-28.98
2021-07-31,31779.15,-0.86
2021-08-31,40019.86,25.93
2021-09-30,31646.34,-20.92
2021-10-31,34849.75,10.12
2021-11-30,28929.82,-16.99
2021-12-31,36415.29,25.87
2022-01-31,25450.80,-30.11
2022-02-28,21667.53,-14.87
2022-03-31,23481.55,8.37
2022-04-30,17101.49,-27.17
2022-05-31,7544.54,-55.88
2022-06-30,5413.98,-28.24
2022-07-31,11679.50,115.73
2022-08-31,9217.83,-21.08
2022-09-30,8078.12,-12.36
2022-10-31,8022.70,-0.69
2022-11-30,6680.77,-16.73
2022-12-31,5137.62,-23.10
2023-01-31,7482.32,45.64
2023-02-28,10389.44,38.85
2023-03-31,8758.74,-15.70
2023-04-30,7971.16,-8.99
2023-05-31,6451.82,-19.06
2023-06-30,6644.81,2.99
2023-07-31,6786.30,2.13
2023-08-31,5472.73,-19.36
2023-09-30,5558.75,1.57
2023-10-31,5818.37,4.67
2023-11-30,8462.83,45.45
2023-12-31,8276.40,-2.20
2024-01-31,7145.88,-13.66
2024-02-29,8937.97,25.08
2024-03-31,8767.28,-1.91
2024-04-30,6820.93,-22.20
2024-05-31,6908.82,1.29
2024-06-30,6501.32,-5.90
2024-07-31,5611.63,-13.68
2024-08-31,5003.70,-10.83
2024-09-30,4996.42,-0.15
2024-10-31,4701.75,-5.90
2024-11-30,7999.49,70.14
2024-12-31,8312.33,3.91
2025-01-31,7167.91,-13.77
2025-02-25,5486.77,-23.45
