Date,PCC Fund,BTC/USDT,ETH/USDT,SOL/USDT,DOT/USDT,ATOM/USDT,AVAX/USDT,UNI/USDT
30-Sep-24,0.4062151,,,,,,,
31-Aug-24,-0.1424091,,,,,,,
31-Jul-24,0.01088,,,,,,,
30-Jun-24,-0.17863,,,,,,,
31-May-24,0.133,,,,,,,
30-Apr-24,-0.259,,,,,,,
31-Mar-24,0.071,,,,,,,
29-Feb-24,0.221,,,,,,,
31-Jan-24,0.153,,,,,,,
31-Dec-23,0.393,,,,,,,
30-Nov-23,0.483,,,,,,,
31-Oct-23,0.17,,,,,,,
30-Sep-23,0.012,,,,,,,
31-Aug-23,-0.135,,,,,,,
31-Jul-23,-0.009,,,,,,,
30-Jun-23,-0.022,,,,,,,
31-May-23,-0.055,,,,,,,
30-Apr-23,-0.02,,,,,,,
31-Mar-23,0.037,,,,,,,
28-Feb-23,0.029,,,,,,,
31-Jan-23,0.413,,,,,,,
31-Dec-22,-0.11,,,,,,,
30-Nov-22,-0.189,,,,,,,
31-Oct-22,0.051945,,,,,,,
30-Sep-22,-0.079,,,,,,,
31-Aug-22,-0.11,,,,,,,
31-Jul-22,0.253,,,,,,,
30-Jun-22,-0.315,,,,,,,
31-May-22,-0.373,,,,,,,
30-Apr-22,-0.288,,,,,,,
31-Mar-22,0.081,,,,,,,
28-Feb-22,0.054,,,,,,,
31-Jan-22,-0.232,,,,,,,
31-Dec-21,-0.2,,,,,,,
30-Nov-21,-0.029,,,,,,,
31-Oct-21,0.287,,,,,,,
30-Sep-21,-0.078,,,,,,,
31-Aug-21,0.551,,,,,,,
31-Jul-21,0.045,,,,,,,
30-Jun-21,-0.315,,,,,,,
31-May-21,-0.059,,,,,,,
30-Apr-21,0.057,,,,,,,
31-Mar-21,0.282,,,,,,,
28-Feb-21,0.567,,,,,,,
31-Jan-21,0.406,,,,,,,
31-Dec-20,0.201,,,,,,,
